SEASON,NAME,CLASS,CODE,URL,DUST,RATING,UPLOADER,DATE,FORMAT,TYPE,STYLE
51,NafBen’s #4 Legend Odd Paladin – June 2018,Paladin,AAEBAZ8FBK8EpwX96gKe+AINRvUF+QqbwgLrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA,https://www.hearthstonetopdecks.com/decks/nafbens-4-legend-odd-paladin-june-2018/,6380,17,Evident,"June 29, 2018",Raven,Aggro,Ladder
51,Meati’s #41 Legend Shudderwock Shaman – June 2018,Shaman,AAEBAaoICvkD3gX/BdPFApziAqvnAsPqAqfuAp7wAu/3AgqBBPUE/gWyBvsMl8ECx8ECm8sC8+cC7/ECAA==,https://www.hearthstonetopdecks.com/decks/meatis-41-legend-shudderwock-shaman-june-2018/,11020,3,Meati,"June 29, 2018",Raven,Combo,Ladder
51,Orange’s #18 Legend Malygos Druid – June 2018,Druid,AAEBAZICCP4BtAOTBMUExAbCzgKZ0wKb6AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,https://www.hearthstonetopdecks.com/decks/oranges-18-legend-malygos-druid-june-2018/,11600,5,Orange,"June 29, 2018",Raven,Combo,Ladder
51,Jarla’s (Kolento) #4 Legend Taunt Druid – June 2018,Druid,AAEBAZICBsQGws4Cr9MCjeYC8eoCjfACDEBf6QHkCMnHApTSApjSAp7SAubTAovhAoTmAt3rAgA=,https://www.hearthstonetopdecks.com/decks/jarlas-kolento-4-legend-taunt-druid-june-2018/,8900,13,Jarla,"June 29, 2018",Raven,Control,Ladder
51,Viper’s Big Spell Mage – HCT Summer Championship 2018,Mage,AAEBAf0ECJwC0ALTxQKgzgLCzgKb0wLy0wKj6wILTYoByQPsB5vCApbHAtXhAtfhApbkAr7sArfxAgA=,https://www.hearthstonetopdecks.com/decks/vipers-big-spell-mage-hct-summer-championship-2018/,13360,10,Viper,"June 21, 2018",Raven,Control,Tournament
51,Rush Warrior – Blizzard Off-Meta Report,Warrior,AAEBAQcQFtICrwT8BPIFkAf7DOvCAsrDAsrLAsLOAp/TApziAv3qAs3vAqbwAgccjgWfwgKbywLMzQKd8ALR9QIA,https://www.hearthstonetopdecks.com/decks/rush-warrior-blizzard-off-meta-report/,13620,7,Evident,"June 28, 2018",Raven,Tempo,Ladder
51,Murloc Mage – Blizzard Off-Meta Report,Mage,AAEBAf0EAqLTAsz0Ag67ApUDxQPbA/4DlgXjBdAHpwidwgKxwgKYxALO7wLeggMA,https://www.hearthstonetopdecks.com/decks/murloc-mage-blizzard-off-meta-report/,7760,17,Evident,"June 28, 2018",Raven,Aggro,Ladder
51,Odd Hunter – Blizzard Off-Meta Report,Hunter,AAEBAR8EjQGiAq8EnvgCDagCtQPtBpcI2wn+DJfBAuvCApXOAuHjAovlAoTsAuXvAgA=,https://www.hearthstonetopdecks.com/decks/odd-hunter-blizzard-off-meta-report/,4200,12,Evident,"June 28, 2018",Raven,Aggro,Ladder
51,Machamp’s #11 Legend Quest Rogue – June 2018,Rogue,AAEBAaIHBs0DmwWGwgKA0wLP4QLD6gIMxAGcAu0CnwOIBdQFhgmXwQL8wQLH0wLb4wL27AIA,https://www.hearthstonetopdecks.com/decks/machamps-11-legend-quest-rogue-june-2018/,8080,-8,Machamp,"June 26, 2018",Raven,Midrange,Ladder
51,Bazz_0’s #19 Legend Midrange Hunter – June 2018,Hunter,AAEBAR8CuwWG0wIOqAK1A+sHlwjbCe0JgQr+DInDAo7DAtfNAt3SAovlAtzuAgA=,https://www.hearthstonetopdecks.com/decks/bazz_0s-19-legend-midrange-hunter-june-2018/,2760,55,Evident,"June 29, 2018",Raven,Midrange,Ladder
51,Furyhunter’s #24 Legend Odd Hunter – June 2018,Hunter,AAEBAR8CrwSe+AIO8gGhAqgCtQPtBpcI2wn+DJfBAt3CAuvCApXOAuHjAovlAgA=,https://www.hearthstonetopdecks.com/decks/furyhunters-24-legend-odd-hunter-june-2018/,4040,23,Furyhunter,"June 25, 2018",Raven,Aggro,Ladder
52,Florindo’s #39 Legend Quest Rogue – July 2018,Rogue,AAEBAaIHBs0DmwWGwgKA0wLP4QLD6gIMxAGcAu0CnwOIBdQFhgmXwQL8wQLH0wLb4wL27AIA,https://www.hearthstonetopdecks.com/decks/florindos-39-legend-quest-rogue-july-2018/,8080,8,Evident,"July 19, 2018",Raven,Aggro,Ladder
52,TheChosenOne’s #1 Legend Cubelock – July 2018,Warlock,AAEBAf0GBpMEycIC08UCl9MC2+kCnPgCDIoB9wS2B+EHm8IC58sC8tAC+NACiNICi+EC/OUC6OcCAA==,https://www.hearthstonetopdecks.com/decks/thechosenones-1-legend-cubelock-july-2018/,11560,11,Evident,"July 19, 2018",Raven,Combo,Ladder
52,Gyong’s #1 Legend Odd Paladin – July 2018,Paladin,AAEBAZ8FAq8EnvgCDkanBfUF68ICg8cCuMcC48sClc4C+9MC0eECi+UC1uUCteYC/eoCAA==,https://www.hearthstonetopdecks.com/decks/gyongs-1-legend-odd-paladin-july-2018/,6760,9,Gyong,"July 15, 2018",Raven,Aggro,Ladder
